id,categoria,prodotto,sku_clanpesca,prezzo_clanpesca_eur,url_clanpesca,nota_confronto
P01,Mulinelli,Shimano Twin Power 2500FE,TP2500FE,419.00,https://clanpesca.com/prodotto/shimano-twin-power-2500fe/,Twin Power FE 2500
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,CTCNQMD401XGLBH,485.00,https://clanpesca.com/prodotto/shimano-calcutta-conquest-md-401xglh/,Calcutta Conquest MD 400/401 XG LH
P03,Mulinelli,Shimano Curado 151HG,CU151HGM,235.00,https://clanpesca.com/prodotto/shimano-curado-151hg/,Curado M 151HG
P04,Mulinelli,Shimano SLX BFS XG,SLXBFSXGL,189.00,https://clanpesca.com/prodotto/shimano-slx-bfs-hg/,SLX BFS XG (left)
P05,Mulinelli,Shimano Cardiff 301 A,CDF301A,99.50,https://clanpesca.com/prodotto/shimano-cardiff-301-a/,Cardiff 301A
P06,Mulinelli,Shimano Aero XR 4000,AEROXR4000,149.00,https://clanpesca.com/prodotto/shimano-aero-xr-4000/,Aero XR 4000
P07,Mulinelli,Shimano Seido 3000 SFA,SEIDO3000SFA--TO,75.00,https://clanpesca.com/prodotto/shimano-seido-3000-sfa/,Seido 3000 SFA trout area
P08,Canne,Shimano Poison Adrena Spinning 266L Mt 1.98 Gr 3/10,5COK62664,289.90,https://clanpesca.com/prodotto/shimano-poison-adrena-spinning-266l-mt-1-98-gr-3-10/,Poison Adrena 266L (1.98m 3-10g)
P09,Canne,Shimano Beast Master Cat Fish Lure Cm 240 Gr 150,SBMCAXL240,145.00,https://clanpesca.com/prodotto/shimano-beast-master-cat-fish-lure-cm-240-gr-150/,Beastmaster Catfish Lure 240 (150g)
P10,Canne,Molix Fioretto Speciale 70FR,MFS-C-70FR,359.50,https://clanpesca.com/prodotto/molix-fioretto-speciale-70fr/,Fioretto Speciale Casting 70FR
P11,Canne,Major Craft Finetail Begins 862MH Spinning,FFB-862MH,345.00,https://clanpesca.com/prodotto/major-craft-finetail-begins-862mh-spinning/,Finetail Begins FFB-862MH
P12,Canne,"Favorite Alligator Travel 7'.7"" 4 Oz 120 Gr",FAALGE7740000,274.00,https://clanpesca.com/prodotto/favorite-alligator-travel-7-7-4-oz-120-gr/,"Alligator Travel 7'7"" 4oz"
P13,Canne,Smith KOZ Expedition Magnum Husky 69H Cm 210 Gr 220,SMKOZMH00069H,559.00,https://clanpesca.com/prodotto/smith-koz-expedition-magnum-husky-69h-cm-210-gr-220/,KOZ Expedition Magnum Husky 69H
P14,Artificiali,Molix Finder Jerk EVO 90 SP,FJE90SP,17.98,https://clanpesca.com/prodotto/molix-finder-jerk-evo-90-sp/,colore qualsiasi
P15,Artificiali,"Molix Craw Flex 3""",CRFX,6.98,https://clanpesca.com/prodotto/molix-craw-flex-3/,colore qualsiasi
P16,Artificiali,Molix Elite Area Spoon Gr 0.8,EAS08,6.50,https://clanpesca.com/prodotto/molix-elite-area-spoon-gr-0-8/,colore qualsiasi
P17,Artificiali,"Keitech Swing Impact 3""",SWIMP3,8.90,https://clanpesca.com/prodotto/keitech-swing-impact-3/,colore qualsiasi
P18,Artificiali,Gary Yamamoto Senko 4,9S10,13.00,https://clanpesca.com/prodotto/gary-yamamoto-senko-4/,"Senko 4"" (9S)"
P19,Artificiali,Nories Laydown Minnow 110JP,NOLD110,22.90,https://clanpesca.com/prodotto/nories-laydown-minnow-110jp/,colore qualsiasi
P20,Artificiali,Lucky Craft LC 2.5 Shallow Crank,LC-LC25,16.99,https://clanpesca.com/prodotto/lucky-craft-lc-2-5-shallow-crank/,LC 2.5 (Shallow) Crank
P21,Artificiali,"LiveTarget Freestyle Frog 3""",FSF75T,11.90,https://clanpesca.com/prodotto/livetarget-freestyle-frog-3/,Freestyle Frog 75mm
