id,marca,nome,categoria,tipo,n_varianti,prezzo_da,prezzo_a,url
26626,airrus,AIRrus Mercurial Casting Monopezzo,Spinning e Casting,grouped,1,180.00,180.00,https://clanpesca.com/prodotto/airrus-mercurial-casting-monopezzo/
26611,airrus,AIRrus Mercurial Spinning Monopezzo,Spinning e Casting,grouped,1,229.00,229.00,https://clanpesca.com/prodotto/airrus-mercurial-spinning-monopezzo/
26637,airrus,AIRrus Spinning Marmorea,Spinning e Casting,simple,0,299.99,299.99,https://clanpesca.com/prodotto/airrus-spinning-marmorea/
26601,airrus,AIRrus Ultra Spinning 2 Pezzi,Spinning e Casting,grouped,1,148.00,148.00,https://clanpesca.com/prodotto/airrus-ultra-spinning-2-pezzi/
33112,ardent,Spray Anticorrosione Ardent Reel Guard per Mulinelli e Attrezzatura da Mare,Lubrificanti e Manutenzione,simple,0,7.60,7.60,https://clanpesca.com/prodotto/spray-anticorrosione-ardent-reel-guard-per-mulinelli-e-attrezzatura-da-mare/
15547,bait-breath,Bait Breath Bys Craw 3.5,Creature & Craw,grouped,1,4.95,4.95,https://clanpesca.com/prodotto/baith-breath-bys-craw-3-5/
15537,bait-breath,Bait Breath Bys Craw 4.5,Creature & Craw,grouped,2,4.95,4.95,https://clanpesca.com/prodotto/baith-breath-bys-craw-4-5/
33460,bass-puzzle,Bass Puzzle Grass Piece,Luccio,grouped,6,21.98,22.98,https://clanpesca.com/prodotto/bass-puzzle-grass-piece/
33473,bass-puzzle,Bass Puzzle Grass Piece Flex 5/8 Oz,Luccio,grouped,2,22.98,22.98,https://clanpesca.com/prodotto/bass-puzzle-grass-piece-flex-5-8-oz/
20277,big-one,Big One Cappellino NU STAR Classic,Abbigliamento,grouped,2,42.00,42.00,https://clanpesca.com/prodotto/big-one-cappellino-nu-star-classic/
20270,big-one,"Big One Cappellino Snapback ""BOLD""",Abbigliamento,grouped,2,35.00,35.00,https://clanpesca.com/prodotto/big-one-cappellino-snapback-bold/
20259,big-one,"Big One Cappellino Snapback ""CLASSIC""",Cappellini,grouped,2,35.00,35.00,https://clanpesca.com/prodotto/big-one-cappellino-snapback-classic/
20239,big-one,Big One Maglia Cappuccio Protezione UPF50+ “AMAZZONIA”,Abbigliamento,grouped,2,117.00,117.00,https://clanpesca.com/prodotto/big-one-maglia-cappuccio-protezione-upf50-amazzonia/
20226,big-one,Big One Maglia Protezione Solare UPF50+ “DARSA” Trama Batimetrica,Abbigliamento,grouped,2,75.00,75.00,https://clanpesca.com/prodotto/big-one-maglia-protezione-solare-upf50-darsa-trama-batimetrica/
20290,big-one,Big One Sacca Porta Esche WRAP 8',Mare,simple,0,72.00,72.00,https://clanpesca.com/prodotto/big-one-sacca-porta-esche-wrap-8/
20339,big-one,Big One T-Shirt “BASIC” – Regular Fit Bianco,Abbigliamento,grouped,2,32.00,32.00,https://clanpesca.com/prodotto/big-one-t-shirt-basic-regular-fit-bianco/
20344,big-one,Big One T-Shirt “BASIC” – Regular Fit Nero,Abbigliamento,grouped,3,32.00,32.00,https://clanpesca.com/prodotto/big-one-t-shirt-basic-regular-fit-nero/
20359,big-one,Big One T-Shirt “FTCZ MOSQUITO EDITION” Grigio Scuro,Abbigliamento,grouped,2,42.00,42.00,https://clanpesca.com/prodotto/big-one-t-shirt-ftcz-mosquito-edition-regular-fit-grigio-scuro/
