id,marca,prodotto,categoria,cp_prezzo_da,cp_prezzo_a,sito,livello_match,prezzo_concorrente,conc_da,conc_a,disponibilita_concorrente,posizione,delta_pct,url_concorrente,url_clanpesca
12751,molix,"Molix Caleo Craw 4""",Creature & Craw,4.50,6.98,bassstoreitaly.com,possibile,6.99,,,disponibile,cp_piu_economico,-0.1,https://bassstoreitaly.com/it/molix-caleo-craw,https://clanpesca.com/prodotto/molix-caleo-craw-4/
12751,molix,"Molix Caleo Craw 4""",Creature & Craw,4.50,6.98,webpesca.it,possibile,6.39,,,esaurito,in_fascia,+0.0,https://www.webpesca.it/shop/artificiale-craw-molix-caleo-craw-10-cm-green-shimmering/,https://clanpesca.com/prodotto/molix-caleo-craw-4/
12764,molix,"Molix Craw Flex 3""",Creature & Craw,6.98,6.98,bassstoreitaly.com,possibile,7.99,,,disponibile,cp_piu_economico,-12.6,https://bassstoreitaly.com/it/molix-craw-flex,https://clanpesca.com/prodotto/molix-craw-flex-3/
12764,molix,"Molix Craw Flex 3""",Creature & Craw,6.98,6.98,webpesca.it,probabile,4.80,,,esaurito,cp_piu_caro,+45.4,https://www.webpesca.it/shop/artificiale-craw-molix-flex-3-7-5-cm-blu-notte/,https://clanpesca.com/prodotto/molix-craw-flex-3/
12767,molix,Molix Finder Jerk 150,Jerkbait,17.69,17.69,bassstoreitaly.com,esatto,16.20,,,disponibile,cp_piu_caro,+9.2,https://bassstoreitaly.com/it/molix-finder-jerk-150,https://clanpesca.com/prodotto/molix-finder-jerk-150/
12767,molix,Molix Finder Jerk 150,Jerkbait,17.69,17.69,escaepescashop.it,possibile,15.10,,,esaurito,cp_piu_caro,+17.2,https://escaepescashop.it/prodotto/molix-finder-jerk-110sp/,https://clanpesca.com/prodotto/molix-finder-jerk-150/
12767,molix,Molix Finder Jerk 150,Jerkbait,17.69,17.69,pescapromo.it,possibile,18.95,,,disponibile,cp_piu_economico,-6.6,https://pescapromo.it/t/esche-artificiali-minnow/molix-finder-jerk-evo-110-sp-suspending-crankbait-11cm-95g,https://clanpesca.com/prodotto/molix-finder-jerk-150/
12767,molix,Molix Finder Jerk 150,Jerkbait,17.69,17.69,webpesca.it,possibile,16.80,,,esaurito,cp_piu_caro,+5.3,https://www.webpesca.it/shop/artificiale-jerkbait-molix-finder-jerk-15-cm-22-gr-red-head/,https://clanpesca.com/prodotto/molix-finder-jerk-150/
12791,molix,Molix Glide Bait 178 Slow Sinking,Swimbait Luccio,29.98,32.70,pescapromo.it,esatto,30.35,,,disponibile,in_fascia,+0.0,https://pescapromo.it/t/swimbaits/molix-glide-bait-178-slow-sinking,https://clanpesca.com/prodotto/molix-glide-bait-178-slow-sinking/
12797,molix,Molix Elite Area Spoon Gr 0.8,Spoon,6.50,6.50,bassstoreitaly.com,possibile,5.99,,,disponibile,cp_piu_caro,+8.5,https://bassstoreitaly.com/it/ondulanti-molix-elite-trout-area-spoon,https://clanpesca.com/prodotto/molix-elite-area-spoon-gr-0-8/
12797,molix,Molix Elite Area Spoon Gr 0.8,Spoon,6.50,6.50,escaepescashop.it,possibile,7.02,,,disponibile,cp_piu_economico,-7.4,https://escaepescashop.it/prodotto/molix-elite-area-spoon/,https://clanpesca.com/prodotto/molix-elite-area-spoon-gr-0-8/
12808,molix,"Molix Freaky Craw 4""",Creature & Craw,6.79,6.79,bassstoreitaly.com,possibile,5.99,,,disponibile,cp_piu_caro,+13.4,https://bassstoreitaly.com/it/molix-freaky-craw,https://clanpesca.com/prodotto/molix-freaky-craw-4/
12808,molix,"Molix Freaky Craw 4""",Creature & Craw,6.79,6.79,escaepescashop.it,esatto,7.50,,,disponibile,cp_piu_economico,-9.5,https://escaepescashop.it/prodotto/molix-freaky-craw-4/,https://clanpesca.com/prodotto/molix-freaky-craw-4/
12808,molix,"Molix Freaky Craw 4""",Creature & Craw,6.79,6.79,webpesca.it,esatto,6.00,,,esaurito,cp_piu_caro,+13.2,https://www.webpesca.it/shop/artificiale-craw-molix-freaky-craw-4-10-cm-black-blue/,https://clanpesca.com/prodotto/molix-freaky-craw-4/
12820,molix,"Molix Freaky Craw 2.8""",Creature & Craw,6.79,6.79,bassstoreitaly.com,possibile,5.99,,,disponibile,cp_piu_caro,+13.4,https://bassstoreitaly.com/it/molix-freaky-craw,https://clanpesca.com/prodotto/molix-freaky-craw-2-8/
12820,molix,"Molix Freaky Craw 2.8""",Creature & Craw,6.79,6.79,escaepescashop.it,esatto,7.55,,,disponibile,cp_piu_economico,-10.1,https://escaepescashop.it/prodotto/molix-freaky-craw-28/,https://clanpesca.com/prodotto/molix-freaky-craw-2-8/
12820,molix,"Molix Freaky Craw 2.8""",Creature & Craw,6.79,6.79,webpesca.it,possibile,6.00,,,esaurito,cp_piu_caro,+13.2,https://www.webpesca.it/shop/artificiale-craw-molix-freaky-craw-4-10-cm-black-blue/,https://clanpesca.com/prodotto/molix-freaky-craw-2-8/
12828,molix,"Molix Freaky Flex 3""",Creature & Craw,6.29,6.29,bassstoreitaly.com,possibile,6.09,,,disponibile,cp_piu_caro,+3.3,https://bassstoreitaly.com/it/molix-freaky-flex,https://clanpesca.com/prodotto/molix-freaky-flex-3/
12828,molix,"Molix Freaky Flex 3""",Creature & Craw,6.29,6.29,webpesca.it,probabile,6.36,,,esaurito,cp_piu_economico,-1.1,https://www.webpesca.it/shop/artificiale-craw-molix-freaky-flex-3-7-5-cm-mixed-pack/,https://clanpesca.com/prodotto/molix-freaky-flex-3/
12835,molix,Molix Glide Bait 140 Floating,Swimbait Luccio,31.50,31.50,webpesca.it,possibile,24.23,,,esaurito,cp_piu_caro,+30.0,https://www.webpesca.it/shop/artificiale-swimbait-molix-glide-bait-floating-13-cm-28-ghost-ayu/,https://clanpesca.com/prodotto/molix-glide-bait-140-floating/
12843,molix,Molix Glide Bait 140 Floating Lip,Swimbait Luccio,31.50,31.50,webpesca.it,possibile,33.15,,,esaurito,cp_piu_economico,-5.0,https://www.webpesca.it/shop/artificiale-swimbait-molix-glide-bait-lip-floating-17-8-cm-73-gr-live-carp/,https://clanpesca.com/prodotto/molix-glide-bait-140-floating-lip/
12849,molix,Molix Glide Bait 178 Floating,Swimbait Luccio,26.98,26.98,webpesca.it,possibile,24.23,,,esaurito,cp_piu_caro,+11.3,https://www.webpesca.it/shop/artificiale-swimbait-molix-glide-bait-floating-13-cm-28-ghost-ayu/,https://clanpesca.com/prodotto/molix-glide-bait-178-floating/
12862,molix,"Molix Freaky Flip 4""",Creature & Craw,6.59,6.59,bassstoreitaly.com,possibile,6.49,,,disponibile,cp_piu_caro,+1.5,https://bassstoreitaly.com/it/molix-freaky-flip,https://clanpesca.com/prodotto/molix-freaky-flip-4/
12878,molix,Molix Hybrid Swimmer 165,Luccio,17.99,17.99,bassstoreitaly.com,esatto,14.59,,,disponibile,cp_piu_caro,+23.3,https://bassstoreitaly.com/it/molix-hybrid-swimmer-165,https://clanpesca.com/prodotto/molix-hybrid-swimmer-165/
12878,molix,Molix Hybrid Swimmer 165,Luccio,17.99,17.99,webpesca.it,possibile,16.00,,,esaurito,cp_piu_caro,+12.4,https://www.webpesca.it/shop/artificiale-shad-molix-hybrid-swimmer-16-5-cm-70-gr-chartreuse/,https://clanpesca.com/prodotto/molix-hybrid-swimmer-165/
12886,molix,Molix Jugulo Wide Casting Jig Gr 7,Metal Jig,10.50,10.50,bassstoreitaly.com,possibile,8.99,,,disponibile,cp_piu_caro,+16.8,https://bassstoreitaly.com/it/molix-jugulo-wide-casting-jig,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-7/
12886,molix,Molix Jugulo Wide Casting Jig Gr 7,Metal Jig,10.50,10.50,megafish.it,possibile,15.05,,,,cp_piu_economico,-30.2,https://www.megafish.it/jig/5872-molix-jugulo-wide-jig.html,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-7/
12886,molix,Molix Jugulo Wide Casting Jig Gr 7,Metal Jig,10.50,10.50,webpesca.it,esatto,8.80,,,esaurito,cp_piu_caro,+19.3,https://www.webpesca.it/shop/artificiale-metal-jig-molix-jugulo-wide-casting-4-cm-7-gr-fb-goby/,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-7/
12893,molix,Molix Jugulo Wide Casting Jig Gr 10,Metal Jig,10.50,10.50,bassstoreitaly.com,possibile,8.99,,,disponibile,cp_piu_caro,+16.8,https://bassstoreitaly.com/it/molix-jugulo-wide-casting-jig,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-10/
12893,molix,Molix Jugulo Wide Casting Jig Gr 10,Metal Jig,10.50,10.50,megafish.it,possibile,15.05,,,,cp_piu_economico,-30.2,https://www.megafish.it/jig/5872-molix-jugulo-wide-jig.html,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-10/
12893,molix,Molix Jugulo Wide Casting Jig Gr 10,Metal Jig,10.50,10.50,webpesca.it,esatto,8.80,,,esaurito,cp_piu_caro,+19.3,https://www.webpesca.it/shop/artificiale-metal-jig-molix-jugulo-wide-casting-4-5-cm-10-gr-mx-holo/,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-10/
12897,molix,"Molix RT Fork Flex 3""",Siliconici,7.18,7.18,bassstoreitaly.com,possibile,6.99,,,disponibile,cp_piu_caro,+2.7,https://bassstoreitaly.com/it/molix_rt_fork_flex,https://clanpesca.com/prodotto/molix-rt-fork-flex-3/
12897,molix,"Molix RT Fork Flex 3""",Siliconici,7.18,7.18,escaepescashop.it,esatto,7.98,,,disponibile,cp_piu_economico,-10.0,https://escaepescashop.it/prodotto/molix-rt-fork-flex-3/,https://clanpesca.com/prodotto/molix-rt-fork-flex-3/
12897,molix,"Molix RT Fork Flex 3""",Siliconici,7.18,7.18,webpesca.it,probabile,4.86,,,esaurito,cp_piu_caro,+47.7,https://www.webpesca.it/shop/artificiale-stickbait-molix-rt-fork-flex-3-7-5-cm-mixed-color/,https://clanpesca.com/prodotto/molix-rt-fork-flex-3/
12908,molix,"Molix RT Fork Flex 5""",Siliconici,8.98,8.98,bassstoreitaly.com,possibile,6.99,,,disponibile,cp_piu_caro,+28.5,https://bassstoreitaly.com/it/molix_rt_fork_flex,https://clanpesca.com/prodotto/molix-rt-fork-flex-5/
12908,molix,"Molix RT Fork Flex 5""",Siliconici,8.98,8.98,escaepescashop.it,possibile,7.98,,,disponibile,cp_piu_caro,+12.5,https://escaepescashop.it/prodotto/molix-rt-fork-flex-3/,https://clanpesca.com/prodotto/molix-rt-fork-flex-5/
12908,molix,"Molix RT Fork Flex 5""",Siliconici,8.98,8.98,webpesca.it,esatto,6.60,,,esaurito,cp_piu_caro,+36.1,https://www.webpesca.it/shop/artificiale-swimbait-molix-rt-fork-flex-5-12-7-cm-glowing-pink/,https://clanpesca.com/prodotto/molix-rt-fork-flex-5/
12921,molix,Molix Jugulo Wide Casting Jig Gr. 20,Metal Jig,12.95,12.95,bassstoreitaly.com,possibile,8.99,,,disponibile,cp_piu_caro,+44.0,https://bassstoreitaly.com/it/molix-jugulo-wide-casting-jig,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-20/
12921,molix,Molix Jugulo Wide Casting Jig Gr. 20,Metal Jig,12.95,12.95,megafish.it,possibile,15.05,,,,cp_piu_economico,-14.0,https://www.megafish.it/jig/5872-molix-jugulo-wide-jig.html,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-20/
12921,molix,Molix Jugulo Wide Casting Jig Gr. 20,Metal Jig,12.95,12.95,webpesca.it,esatto,11.18,,,esaurito,cp_piu_caro,+15.8,https://www.webpesca.it/shop/artificiale-metal-jig-molix-jugulo-wide-casting-5-5-cm-20-gr-gt/,https://clanpesca.com/prodotto/molix-jugulo-wide-casting-jig-gr-20/
12923,molix,"Molix RT Fork Flex 6""",Shad,10.78,10.78,bassstoreitaly.com,possibile,6.99,,,disponibile,cp_piu_caro,+54.2,https://bassstoreitaly.com/it/molix_rt_fork_flex,https://clanpesca.com/prodotto/molix-rt-fork-flex-6/
12923,molix,"Molix RT Fork Flex 6""",Shad,10.78,10.78,escaepescashop.it,possibile,7.98,,,disponibile,cp_piu_caro,+35.1,https://escaepescashop.it/prodotto/molix-rt-fork-flex-3/,https://clanpesca.com/prodotto/molix-rt-fork-flex-6/
12923,molix,"Molix RT Fork Flex 6""",Shad,10.78,10.78,webpesca.it,esatto,7.19,,,esaurito,cp_piu_caro,+49.9,https://www.webpesca.it/shop/artificiale-swimbait-molix-rt-fork-flex-6-15-2-cm-mixed-pack-1/,https://clanpesca.com/prodotto/molix-rt-fork-flex-6/
12925,molix,Molix Jig Blades,Jig Head,3.60,3.60,bassstoreitaly.com,famiglia,3.25,,,disponibile,cp_piu_caro,+10.8,https://bassstoreitaly.com/it/molix-jig-blades,https://clanpesca.com/prodotto/molix-jig-blades/
12939,molix,"Molix RT Fork Flex 4""",Siliconici,9.45,9.45,bassstoreitaly.com,possibile,6.99,,,disponibile,cp_piu_caro,+35.2,https://bassstoreitaly.com/it/molix_rt_fork_flex,https://clanpesca.com/prodotto/molix-rt-fork-flex-4/
12939,molix,"Molix RT Fork Flex 4""",Siliconici,9.45,9.45,escaepescashop.it,possibile,7.98,,,disponibile,cp_piu_caro,+18.4,https://escaepescashop.it/prodotto/molix-rt-fork-flex-3/,https://clanpesca.com/prodotto/molix-rt-fork-flex-4/
12939,molix,"Molix RT Fork Flex 4""",Siliconici,9.45,9.45,webpesca.it,esatto,5.99,,,esaurito,cp_piu_caro,+57.8,https://www.webpesca.it/shop/artificiale-swimbait-molix-rt-fork-flex-4-10-cm-wakasagi/,https://clanpesca.com/prodotto/molix-rt-fork-flex-4/
