id,categoria,prodotto,prezzo_clanpesca_eur,sito_concorrente,esito,prezzo_concorrente_eur,disponibilita,url,note,data_rilevazione
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,bassstoreitaly.com,ok,414.00,disponibile,https://bassstoreitaly.com/it/shimano-twin-power-fe-spinning,"pagina famiglia FE, prezzo unico",2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,megafish.it,ok,403.90,nd,https://www.megafish.it/mulinelli-pesca-frizione-anteriore/7271-shimano-24-twin-power-fe.html,"24 Twin Power FE, variante 2500",2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,pescapromo.it,ok,409.29,disponibile,https://pescapromo.it/t/mulinelli/mulinello-shimano-twin-power,variante 2500 FE,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,bestpesca.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,dimensionepesca.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,fishingitalia.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,marlinblue.it,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,misterfish.shop,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,mondo-pesca.it (ora escaepescashop.it),non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,pescafishingshop.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,pescamia.eu,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,propesca.it,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,sampey.it,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,webpesca.it,non_trovato,,,https://www.webpesca.it/shop/mulinello-shimano-twin-power-fe/,FE in catalogo ma esaurito senza prezzo,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,amazon.it,bloccato,,,,bot-wall su fetch automatico,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,decathlon.it,bloccato,,,,bot-wall 403,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,free-fishing.it,bloccato,,,,irraggiungibile (connessione fallita),2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,idealo.it,bloccato,,,,bot-wall 403,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,marcosportshop.com,bloccato,,,,bot-wall 403,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,pescaloccasione.it,bloccato,,,,bot-wall (403/503) su ogni accesso,2026-08-05
P01,Mulinelli,Shimano Twin Power 2500FE,419.00,trovaprezzi.it,bloccato,,,,bot-wall 403/404,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,bassstoreitaly.com,variante_diversa,437.99,esaurito,https://bassstoreitaly.com/it/shimano-calcutta-conquest-md-301-casting,MD 301 (taglia 300 vs 400),2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,webpesca.it,variante_diversa,435.00,disponibile,https://www.webpesca.it/shop/mulinello-shimano-calcutta-conquest-md-left-hand/,MD LH 301XG (taglia 300 vs 400); scontato da 499,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,bestpesca.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,dimensionepesca.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,fishingitalia.com,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,marlinblue.it,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,megafish.it,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
P02,Mulinelli,Shimano Calcutta Conquest MD 401XGLH,485.00,misterfish.shop,non_trovato,,,,ricerca interna/sitemap: nessun risultato,2026-08-05
